"","department","sector1","sector2","apex"
"1","INDIRA GANDHI PANCHYATI RAJ SANSTHAN","COMPENSATION AND ASSIGNMENTS TO LOCAL BODIES AND PANCHAYATI RAJ INSTITUTIONS","","apex"
"2","COLLECTORATE","SECRETARIAT – GENERAL SERVICES","",""
"3","HOME","SECRETARIAT – GENERAL SERVICES","",""
"4","ESTATE","SECRETARIAT – GENERAL SERVICES","",""
"5","GENERAL ADMINISTRATION (GAD)","SECRETARIAT – GENERAL SERVICES","",""
"6","HCM RAJASTHAN STATE INSTITUTE OF PUBLIC ADMINISTRATION (RIPA)","EDUCATION, SPORTS, ART AND CULTURE","SECRETARIAT – GENERAL SERVICES","apex"
"7","FOOD, CIVIL SUPPLIES AND CONSUMER AFFAIRS","CIVIL SUPPLIES","FOOD STORAGE AND WAREHOUSING",""
"8","MUNICIPAL CORPORATION","URBAN DEVELOPMENT","",""
"9","TRANSPORT","ROADS AND BRIDGES","",""
"10","PERSONNEL (D.O.P.)","SECRETARIAT – GENERAL SERVICES","",""
"11","UNIVERSITIES","EDUCATION, SPORTS, ART AND CULTURE","",""
"12","WOMEN EMPOWERMENT","FAMILY WELFARE","SOCIAL SECURITY AND WELFARE",""
"13","RELIEF","RELIEF ON ACCOUNT OF NATURAL CALAMITIES","",""
"14","TRAINING","EDUCATION, SPORTS, ART AND CULTURE","SECRETARIAT – GENERAL SERVICES",""
"15","EXCISE","ECONOMIC SERVICES","",""
"16","OTHERS","","",""
"17","ECONOMICS AND STATISTICS","ECONOMIC SERVICES","ECONOMIC SERVICES, SECRETARIAT – ECONOMIC SERVICES",""
"18","FINANCE","ECONOMIC SERVICES","",""
"19","INDUSTRIES AND COMMERCE","INDUSTRIES","",""
"20","PUBLIC ENTERPRISES","INDUSTRIES","","apex"
"21","GOVERNOR","","",""
"22","RAJASTHAN STATE MINES AND MINERALS LIMITED (RSMML)","NON-FERROUS MINING AND METALLURGICAL INDUSTRIES","","psu"
"23","LOCAL BODIES/ LSG","URBAN DEVELOPMENT","",""
"24","AYURVED","MEDICAL AND PUBLIC HEALTH","","apex"
"25","WOMEN AND CHILD DEVELOPMENT","FAMILY WELFARE","",""
"26","RAJASTHAN TOURISM DEVELOPMENT CORPORATION (RTDC)","TOURISM","","psu"
"27","INFORMATION AND PUBLIC RELATION (DIPR)","SECRETARIAT – GENERAL SERVICES","",""
"28","EMPLOYMENT","LABOUR AND LABOUR WELFARE","",""
"29","RAJASTHAN HOUSING BOARD","URBAN DEVELOPMENT","","apex"
"30","DIVISIONAL COMMISSIONER OFFICE","SECRETARIAT – GENERAL SERVICES","",""
"31","INTEGRATED CHILD DEVELOPMENT SERVICES (ICDS)","FAMILY WELFARE","",""
"32","FISHERIES","FISHERIES","",""
"33","DEPARTMENTAL ENQUIRY","SECRETARIAT – GENERAL SERVICES","",""
"34","POLICE COMMISSIONERATE","POLICE","",""
"35","SUPDT. OF POLICE OFFICE","POLICE","",""
"36","GOVERNMENT RAILWAY POLICE (GRP)","POLICE","",""
"37","TELECOMMUNICATION","COMMUNICATIONS","",""
"38","RANGE","FORESTRY AND WILD LIFE","",""
"39","ANTI CORRUPTION BUREAU (ACB)","SECRETARIAT – GENERAL SERVICES","",""
"40","TELECOMUNICATION","COMMUNICATIONS","",""
"41","CRIME INVESTIGATION (CID)","","",""
"42","VIGILANCE","SECRETARIAT – GENERAL SERVICES","",""
"43","ANTI TERRORIST SQUAD (ATS)","","",""
"44","POLICE INTELLIGENCE","POLICE","",""
"45","ARMED BATTALIONS","POLICE","",""
"46","SPECIAL OPERATIONS GROUP (SOG)","POLICE","",""
"47","R.A.C.","","",""
"48","MINISTRY OF SHIPPING","","",""
"49","RURAL DEVELOPMENT & PANCHAYATI RAJ","RURAL DEVELOPMENT","",""
"50","EMPLOYEE GUARNTEE SCHEME (EGS)","RURAL DEVELOPMENT","",""
"51","TRIBAL AREA DEVELOPMENT(T.A.D.)","WELFARE OF SCHEDULED CASTES, SCHEDULED TRIBES AND OTHER BACKWARD CLASSES","",""
"52","STATE HEALTH ASSURANCE AGENCY","MEDICAL AND PUBLIC HEALTH","",""
"53","POLICE HEADQUARTER","POLICE","",""
"54","STATE DISASTER ACTION FORCE","RELIEF ON ACCOUNT OF NATURAL CALAMITIES","",""
"55","MUNICIPAL COUNCIL","URBAN DEVELOPMENT","",""
"56","URBAN IMPROVMENT TRUST (UIT)","URBAN DEVELOPMENT","",""
"57","LITERACY AND CONTINUING EDUCATION","EDUCATION, SPORTS, ART AND CULTURE","",""
"58","AGRICULTURE","AGRICULTURAL RESEARCH AND EDUCATION","AGRICULTURAL FINANCE INSTITUTIONS",""
"59","RAJASTHAN SCHOOL SHIKSHA PARISHAD","EDUCATION, SPORTS, ART AND CULTURE","",""
"60","S.M.S.A.","EDUCATION, SPORTS, ART AND CULTURE","",""
"61","SETTLEMENT","","","apex"
"62","JAIPUR DEVELOPMENT AUTHORITY","URBAN DEVELOPMENT","",""
"63","SOCIAL JUSTICE AND EMPOWERMENT","SOCIAL SECURITY AND WELFARE","",""
"64","INFORMATION TECHNOLOGY AND COMMUNICATION","COMMUNICATIONS","",""
"65","SUGAR MILLS","","",""
"66","MUNICIPAL CORPORATION JAIPUR GREATER","URBAN DEVELOPMENT","",""
"67","DELHI MUMBAI INDUSTRIAL CORRIDOR (DMIC)","INDUSTRIES","","psu"
"68","RAJASTHAN STATE INDUSTRIAL DEVELOPMENT AND INVESTMENT CORPORATION (RIICO)","INDUSTRIES","","apex"
"69","SECONDARY EDUCATION","EDUCATION, SPORTS, ART AND CULTURE","",""
"70","WATERSHED DEVELOPMENT AND SOIL CONSERVATION","SOIL AND WATER CONSERVATION","",""
"71","AJMER DEVELOPMENT AUTHORITY","URBAN DEVELOPMENT","",""
"72","MEDICAL AND HEALTH","MEDICAL AND PUBLIC HEALTH","",""
"73","NATIONAL HEALTH MISSION (N.H.M.)","MEDICAL AND PUBLIC HEALTH","","apex"
"74","CIVIL DEFENCE","","",""
"75","DISASTER MANAGEMENT","RELIEF ON ACCOUNT OF NATURAL CALAMITIES","",""
"76","ANIMAL HUSBANDRY","ANIMAL HUSBANDRY","",""
"77","GOPALAN","ANIMAL HUSBANDRY","",""
"78","RAJASTHAN COOPERATIVE DAIRY FEDERATION LIMITED (RCDFL)","INDUSTRIES","","psu"
"79","RAJASTHAN SKILL AND LIVELIHOOD DEVELOPMENT CORPORATION (RSLDC)","INDUSTRIES","","psu"
"80","SKILL DEVELOPMENT AND ENTREPRENEURSHIP","INDUSTRIES","","psu"
"81","CHILD RIGHTS","FAMILY WELFARE","",""
"82","BUREAU OF INVESTMENT PROMOTION (BIP)","INDUSTRIES","","apex"
"83","PLANNING","SECRETARIAT – GENERAL SERVICES","",""
"84","ART AND CULTURE","EDUCATION, SPORTS, ART AND CULTURE","",""
"85","JAWAHAR KALA KENDRA (JKK)","EDUCATION, SPORTS, ART AND CULTURE","",""
"86","TOURISM","TOURISM","",""
"87","RAJASTHAN FOUNDATION","INDUSTRIES","","apex"
"88","MINORITY AFFAIRS","","","apex"
"89","GROUND WATER","WATER SUPPLY AND SANITATION","",""
"90","PUBLIC HEALTH ENGINEERING (PHED)","MEDICAL AND PUBLIC HEALTH","",""
"91","BOARD OF REVENUE","","",""
"92","JAIPUR VIDHYUT VITRAN NIGAM LIMITED","","","psu"
"93","MINES AND GEOLOGY","NON-FERROUS MINING AND METALLURGICAL INDUSTRIES","",""
"94","PETROLEUM","INDUSTRIES","","apex"
"95","ADMINISTRATIVE REFORMS","SECRETARIAT – GENERAL SERVICES","",""
"96","COORDINATION","","",""
"97","PRINTING AND STATIONERY","SECRETARIAT – GENERAL SERVICES","",""
"98","REMOVAL OF PUBLIC GRIEVANCES (RPG)","SECRETARIAT – GENERAL SERVICES","",""
"99","RAJASTHAN SMALL INDUSTRIES CORPORATION LIMITED (RAJSICO)","VILLAGE AND SMALL INDUSTRIES","",""
"100","URBAN DEVELOPMENT AND HOUSING (UDH)","URBAN DEVELOPMENT","",""
"101","BHIWADI INDUSTRIAL DEVELOPMENT AUTHORITY","INDUSTRIES","","apex"
"102","LABOUR","LABOUR AND LABOUR WELFARE","",""
"103","AJMER VIDHYUT VITRAN NIGAM LIMITED","","","psu"
"104","COOPERATIVE SOCITIES","CO-OPERATION","",""
"105","COLLEGE EDUCATION","EDUCATION, SPORTS, ART AND CULTURE","",""
"106","RAJASTHAN STATE ROAD TRANSPORT CORPORATION (RSRTC)","ROADS AND BRIDGES","","apex"
"107","FOREST","FORESTRY AND WILD LIFE","",""
"108","COLONISATION","","",""
"109","REVENUE","","",""
"110","SAINIK KALYAN","POLICE","",""
